Location,Latitude,Longitude
Boyáca,5.75,-73.1
Freiburg,50.858333333333334,16.316666666666666
Gärdslösa,56.784043731286,16.739088667743
Hasslösa,58.431944444444,13.271388888889
Lerdala,58.477742514608,13.714354216636
NordHolland,52.666666666667,4.8333333333333
Novellara,44.85,10.733333333333
Striegau,50.95861111111111,16.348333333333333
Våmbsjön,55.68083333,13.58861111
Yukon,60.72083333333333,-135.05333333333334
Åreskutan,63.430833333333,13.093055555556
Ismailija,30.583333333333,32.266666666667
Sevalla,59.73916667,16.71638889
Öved,55.687777777778,13.644166666667
Broddarp,57.995555555556,13.294444444444
Kairo,30.044444444444444,31.235833333333332
Dobbeln,52.102088888888886,10.90356388888889
Centre,19.15,-72.016666666667
